id,Title,Journal,Year,Abstract,Keywords,Recommend
11,PIPS - A general purpose Parallel Image Processing System,,1994,In this paper we discuss general requirements for parallel implementations of image processing algorithms. Of special importance are the communication demands in the parallel system which are determined by the algorithm under consideration. These communication demands are decisive for determining the best way to distribute the image data to the network processors. Analysing these factors for some typical image processing algorithms reveals that it is difficult to find a fixed network structure which meets all the demands equally well. A possibility to cope with these problems is to emb ed different topologies into a fixed network structure. The mentioned factors were guidelines for the design of the general purpose Parallel Image Pro cessing System Pips. We describe the structure of this software package and elucidate for some selected topics the implementation details. Experimental results from an implementation on a multiprocessor system are presented.,,1
12,Grid-enabling medical image analysis,,2005,"Digital medical image processing is a promising application area for grids. Given the volume of data, the sensitivity of medical information, and the joint complexity of medical datasets and computations expected in clinical practice, the challenge is to fill the gap between the grid middleware and the requirements of clinical applications. The research project AGIR (Grid Analysis of Radiologi- cal Data) presented in this paper addresses this challenge through a combined approach: on one hand, leveraging the grid middleware through core grid medical services which target the requirements of medical data processing applica- tions; on the other hand, grid-enabling a panel of applica- tions ranging from algorithmic research to clinical applica- tions.",,1
13,Automated detection of pelvic fractures from volumetric CT images,,2012,"Pelvic fractures are a major cause of trauma patient mortality. Detection and management of pelvic injuries is challenging due to myriad injury patterns and associated complications such as hemorrhage and infection. In this paper, we propose an automated method of pelvic fracture detection from volumetric CT images. A coarse-to-fine strategy is adopted where a potential region containing the fracture is identified first using intensity and curvature information. The above region is modeled as a weighted graph and a fracture is modeled as a minimum cut in this graph. A second localizing algorithm models the same fracture as a valley, based on the signs of the mean and Gaussian curvature. The minimum cuts as well as the spatial consistent valleys, in isolation, generate a small number of false positives in addition to the true fracture. A joint decision process based on the volumetric graph cuts and the spatially consistent valleys eliminates the false positives. Experimental results indicate the effectiveness of the proposed scheme.",biomechanics;bone;computerised tomography;feature extraction;graph theory;injuries;medical image processing;Gaussian curvature;automated detection;automated method;coarse-to-fine strategy;curvature information;hemorrhage;infection;injury patterns;intensity information;joint decision process;localizing algorithm;minimum graph cut;pelvic fractures;pelvic injuries;spatially consistent valleys;trauma patient mortality;volumetric CT images;volumetric graph cuts;weighted graph;Bones;Computed tomography;Injuries;Joints;Solid modeling;Surface cracks;Graph Cut;Mean and Gaussian curvatures;Pelvic fracture,1
14,Toward Real-time Image Guided Neurosurgery Using Distributed and Grid Computing,,2006,"Neurosurgical resection is a therapeutic intervention in the treatment of brain tumors. Precision of the resection can be improved by utilizing Magnetic Resonance Imaging (MRI) as an aid in decision making during Image Guided Neurosurgery (IGNS). Image registration adjusts pre-operative data according to intra-operative tissue deformation. Some of the approaches increase the registration accuracy by tracking image landmarks through the whole brain volume. High computational cost used to render these techniques inappropriate for clinical applications.In this paper we present a parallel implementation of a state of the art registration method, and a number of needed incremental improvements. Overall, we reduced the response time for registration of an average dataset from about an hour and for some cases more than an hour to less than seven minutes, which is within the time constraints imposed by neurosurgeons. For the first time in clinical practice we demonstrated, that with the help of distributed computing non-rigid MRI registration based on volume tracking can be computed intra-operatively.","distributed computing, grid computing, image registration, medical imaging",1
15,Image based measurements for evaluation of pelvic organ prolapse,Journal of Biomedical Science and Engineering,2013,"Magnetic resonance imaging (MRI) measurements are essential for the diagnosis of pelvic organ prolapse given the inaccuracy of clinical examination. However, MRI pelvic floor measurements are currently performed manually and can be inconsistent and timeconsuming. In this paper, we present a scheme for semi-automatic measurement modeling on MRI based on image segmentation and intersecting point identification methods. The segmentation algorithm is a multistage mechanism based on block grouping, support vector machine classification, morphological operation and prior shape information. Block grouping is achieved by classifying blocks as bone or background based on image texture features. The classified blocks are then used to find the initial segmentation by the first phase morphological opening. Prior shape information is incorporated into the initial segmentation to obtain the final segmentation using registration with the similarity type transformation. After segmentation, points of reference that are used for pelvic floor measurements are identified using morphological skeleton operation. The experiments on the MRI images show that the presented scheme can detect the points of reference on the pelvic floor structure to determine the reference lines needed for the assessment of pelvic organ prolapse. This will lead towards more consistent and faster pelvic organ prolapse diagnosis on dynamic MRI studies, and possible screening procedures for predicting predisposition to pelvic organ prolapse by radiologic evaluation of pelvic floor measurements.",,1
16,Accelerating Advanced MRI Reconstructions on GPUs,,2008,,"cuda, gpgpu, gpu computing, mri, reconstruction",1
17,Histology image analysis for carcinoma detection and grading ,Computer Methods and Programs in Biomedicine,2012,"This paper presents an overview of the image analysis techniques in the domain of histopathology, speciﬁcally, for the objective of automated carcinoma detection and classi- ﬁcation. As in other biomedical imaging areas such as radiology, many computer assisted diagnosis (CAD) systems have been implemented to aid histopathologists and clinicians in cancer diagnosis and research, which have been attempted to signiﬁcantly reduce the labor and subjectivity of traditional manual intervention with histology images. The task of automated histology image analysis is usually not simple due to the unique charac- teristics of histology imaging, including the variability in image preparation techniques, clinical interpretation protocols, and the complex structures and very large size of the images themselves. In this paper we discuss those characteristics, provide relevant back- ground information about slide preparation and interpretation, and review the application of digital image processing techniques to the ﬁeld of histology image analysis. In particular, emphasis is given to state-of-the-art image segmentation methods for feature extraction and disease classiﬁcation. Four major carcinomas of cervix, prostate, breast, and lung are selected to illustrate the functions and capabilities of existing CAD systems.",Histopathology,1
18,The Agile Library for Biomedical Image Reconstruction Using GPU Acceleration,Computing in Science Engineering,2013,"A cheap way to speed up image-reconstruction software is to use modern graphics hardware that can execute algorithms in a massively parallel manner. Here, the authors discuss Agile, an open source library designed for image reconstruction in biomedical sciences. Its modular, object-oriented, and templated design eases the integration of the library into user code.",image reconstruction;medical image processing;parallel processing;public domain software;software libraries;GPU acceleration;agile library;biomedical image reconstruction software;biomedical sciences;massively parallel manner;modular object-oriented templated design;open source library;Biomedical image processing;Graphics processing unit;Image reconstruction;Libraries;Magnetic resonance imaging;GPUs;MRI;biomedical science;finite-element methods;medical resonance imaging;parallel algorithms;scientific computing,1
19,DIPE: A Distributed Environment for Medical Image Processing,,1997,"DIPE is a distributed environment that provides image processing services over integrated teleradiology services networks. DIPE integrates existing and new image processing software and employs sophisticated execution scheduling mechanisms for the efficient management of computational resources within a distributed environment. It can also be extended to provide various added- value services, such as management and retrieval of image processing software modules, as well as advanced charging procedures based on quality of service. DIPE can be viewed as the natural evolution of the legacy field of medical image processing towards a service over the emergent health care telematics networks.",,1
20,A Parallel Implementation of 4-Dimensional Haralick Texture Analysis for Disk-Resident Image Datasets,,2004,"Texture analysis is one possible method to detect features in biomedical images. During texture analysis, texture related information is found by examining local variations in image brightness. 4-dimensional (4D) Haralick texture analysis is a method that extracts local variations along space and time dimensions and represents them as a collection of fourteen statistical parameters. However, the application of the 4D Haralick method on large time-dependent 2D and 3D image datasets is hindered by computation and memory requirements. This paper presents a parallel implementation of 4D Haralick texture analysis on PC clusters. We present a performance evaluation of our implementation on a cluster of PCs. Our results show that good performance can be achieved for this application via combined use of task- and data-parallelism.",,1
21,Processing of Medical Images in Virtual Distributed Environment,,2009,"The processing of medical images within a PACS system depends on high capacity of communication channels and high performance of computational resources. We introduce pilot project utilizing grid technology to distribute functionality of PACS system to several machines located in distant places which allows economizing utilization of network channels. We also discuss benefits and disadvantages of virtualization techniques allowing to separate physical machine capabilities from the operating system. We compare this pilot project utilizing high speed CESNET 2 network with similar mature projects based mainly on P2P secure connection, centralized system and proprietary protocols.","PACS, grid, virtualization",1
22,A novel medical image data-based multi-physics simulation platform for computational life sciences.,Interface Focus,2013,"Simulating and modelling complex biological systems in computational life sciences requires specialized software tools that can perform medical image data-based modelling, jointly visualize the data and computational results, and handle large, complex, realistic and often noisy anatomical models. The required novel solvers must provide the power to model the physics, biology and physiology of living tissue within the full complexity of the human anatomy (e.g. neuronal activity, perfusion and ultrasound propagation). A multi-physics simulation platform satisfying these requirements has been developed for applications including device development and optimization, safety assessment, basic research, and treatment planning. This simulation platform consists of detailed, parametrized anatomical models, a segmentation and meshing tool, a wide range of solvers and optimizers, a framework for the rapid development of specialized and parallelized finite element method solvers, a visualization toolkit-based visualization engine, a Python scripting interface for customized applications, a coupling framework, and more. Core components are cross-platform compatible and use open formats. Several examples of applications are presented: hyperthermia cancer treatment planning, tumour growth modelling, evaluating the magneto-haemodynamic effect as a biomarker and physics-based morphing of anatomical models.",,1
23,"Scalable, high-performance 3D imaging software platform: system architecture and application to virtual colonoscopy.",Conf Proc IEEE Eng Med Biol Soc,2012,"One of the key challenges in three-dimensional (3D) medical imaging is to enable the fast turn-around time, which is often required for interactive or real-time response. This inevitably requires not only high computational power but also high memory bandwidth due to the massive amount of data that need to be processed. In this work, we have developed a software platform that is designed to support high-performance 3D medical image processing for a wide range of applications using increasingly available and affordable commodity computing systems: multi-core, clusters, and cloud computing systems. To achieve scalable, high-performance computing, our platform (1) employs size-adaptive, distributable block volumes as a core data structure for efficient parallelization of a wide range of 3D image processing algorithms; (2) supports task scheduling for efficient load distribution and balancing; and (3) consists of a layered parallel software libraries that allow a wide range of medical applications to share the same functionalities. We evaluated the performance of our platform by applying it to an electronic cleansing system in virtual colonoscopy, with initial experimental results showing a 10 times performance improvement on an 8-core workstation over the original sequential implementation of the system.","Colon, pathology; Colonography, Computed Tomographic, methods/standards; Humans; Imaging, Three-Dimensional, methods; Software, standards; Time Factors",1
24,Run-time Optimizations for Replicated Dataflows on Heterogeneous Environments,,2010,"The increases in multi-core processor parallelism and in the ﬂexibility of many-core accelerator processors, such as GPUs, have turned traditional SMP systems into hierarchical, heterogeneous computing environments. Fully exploiting these improvements in parallel system design remains an open problem. Moreover, most of the current tools for the development of parallel applications for hierarchical systems concentrate on the use of only a single processor type (e.g., accelerators) and do not coordinate several heterogeneous processors. Here, we show that making use of all of the heterogeneous computing resources can signiﬁcantly improve application performance. Our approach, which consists of optimizing applications at run-time by efﬁciently coordinating application task execution on all available processing units is evaluated in the context of replicated dataﬂow applications. The proposed techniques were developed and implemented in an integrated run-time system targeting both intra- and inter-node parallelism. The experimental results with a real-world complex biomedical application show that our approach nearly doubles the performance of the GPU-only implementation on a distributed heterogeneous accelerator cluster.","GPGPU, filter-stream, run-time optimizations",1
25,Fast multi-core based multimodal registration of 2D cross-sections and 3D datasets.,BMC Bioinformatics,2010,"Solving bioinformatics tasks often requires extensive computational power. Recent trends in processor architecture combine multiple cores into a single chip to improve overall performance. The Cell Broadband Engine (CBE), a heterogeneous multi-core processor, provides power-efficient and cost-effective high-performance computing. One application area is image analysis and visualisation, in particular registration of 2D cross-sections into 3D image datasets. Such techniques can be used to put different image modalities into spatial correspondence, for example, 2D images of histological cuts into morphological 3D frameworks.We evaluate the CBE-driven PlayStation 3 as a high performance, cost-effective computing platform by adapting a multimodal alignment procedure to several characteristic hardware properties. The optimisations are based on partitioning, vectorisation, branch reducing and loop unrolling techniques with special attention to 32-bit multiplies and limited local storage on the computing units. We show how a typical image analysis and visualisation problem, the multimodal registration of 2D cross-sections and 3D datasets, benefits from the multi-core based implementation of the alignment algorithm. We discuss several CBE-based optimisation methods and compare our results to standard solutions. More information and the source code are available from http://cbe.ipk-gatersleben.de.The results demonstrate that the CBE processor in a PlayStation 3 accelerates computational intensive multimodal registration, which is of great importance in biological/medical image processing. The PlayStation 3 as a low cost CBE-based platform offers an efficient option to conventional hardware to solve computational problems in image processing and bioinformatics.","Algorithms; Image Interpretation, Computer-Assisted, methods; Image Processing, Computer-Assisted, methods; Imaging, Three-Dimensional, methods",1
26,A survey of GPU-based medical image computing techniques.,Quant Imaging Med Surg,2012,"Medical imaging currently plays a crucial role throughout the entire clinical applications from medical scientific research to diagnostics and treatment planning. However, medical imaging procedures are often computationally demanding due to the large three-dimensional (3D) medical datasets to process in practical clinical applications. With the rapidly enhancing performances of graphics processors, improved programming support, and excellent price-to-performance ratio, the graphics processing unit (GPU) has emerged as a competitive parallel computing platform for computationally expensive and demanding tasks in a wide range of medical image applications. The major purpose of this survey is to provide a comprehensive reference source for the starters or researchers involved in GPU-based medical image processing. Within this survey, the continuous advancement of GPU computing is reviewed and the existing traditional applications in three areas of medical image processing, namely, segmentation, registration and visualization, are surveyed. The potential advantages and associated challenges of current GPU-based medical imaging are also discussed to inspire future applications in medicine.",,1
27,A review of algorithms for medical image segmentation and their applications to the female pelvic cavity,Computer Methods in Biomechanics and Biomedical Engineering,2010,,,0
28,Segmentation of female pelvic organs in axial magnetic resonance images using coupled geometric deformable models ,Computers in Biology and Medicine,2013,,Image segmentation,0
29,Thinning methodologies-a comprehensive survey,"Pattern Analysis and Machine Intelligence, IEEE Transactions on",1992,"A comprehensive survey of thinning methodologies is presented. A wide range of thinning algorithms, including iterative deletion of pixels and nonpixel-based methods, is covered. Skeletonization algorithms based on medial axis and other distance transforms are not considered. An overview of the iterative thinning process and the pixel-deletion criteria needed to preserve the connectivity of the image pattern is given first. Thinning algorithms are then considered in terms of these criteria and their modes of operation. Nonpixel-based methods that usually produce a center line of the pattern directly in one pass without examining all the individual pixels are discussed. The algorithms are considered in great detail and scope, and the relationships among them are explored",iterative methods picture processing connectivity image pattern iterative deletion nonpixel based method picture processing pixel based method thinning Algorithm design and analysis Character recognition Data compression Image analysis Iterative algorithms Pattern analysis Pattern recognition Pixel Skeleton White blood cells,0
30,Parallel adaptive wavelet analysis,Future Generation Computer Systems,2001,"Adapted wavelet analysis in the sense of wavelet packet algorithms is a highly relevant procedure in different types of applications, like, e.g. data compression, feature extraction, classification problems, data analysis, numerical mathematics, etc. Given a large or high-dimensional data set the computational demand is too high for interactive or “nearly-interactive” processing. Therefore, parallel processing is one of the possibilities to accelerate the processing speed. In this case, special attention has to be paid towards handling of the large amount of data in addition to the proper organization of the computations. We investigate different data decomposition approaches, border handling techniques and programming paradigms. The memory consuming decomposition into a given arbitrary basis after adaptive basis choice is resolved by a localized decomposition strategy.",Wavelet packets MIMD algorithms Best basis algorithm,1
31,An XML-based System for Synthesis of Data from Disparate Databases,Journal of the American Medical Informatics Association,2006,"Diverse data sets have become key building blocks of translational biomedical research. Data types captured and referenced by sophisticated research studies include high throughput genomic and proteomic data, laboratory data, data from imagery, and outcome data. In this paper, the authors present the application of an XML-based data management system to support integration of data from disparate data sources and large data sets. This system facilitates management of XML schemas and on-demand creation and management of XML databases that conform to these schemas. They illustrate the use of this system in an application for genotype–phenotype correlation analyses. This application implements a method of phenotype–genotype correlation based on phylogenetic optimization of large data sets of mouse SNPs and phenotypic data. The application workflow requires the management and integration of genomic information and phenotypic data from external data repositories and from the results of phenotype–genotype correlation analyses. Our implementation supports the process of carrying out a complex workflow that includes large-scale phylogenetic tree optimizations and application of Maddison's concentrated changes test to large phylogenetic tree data sets. The data management system also allows collaborators to share data in a uniform way and supports complex queries that target data sets.",,0
32,Large-Scale Biomedical Image Analysis in Grid Environments,"Information Technology in Biomedicine, IEEE Transactions on",2008,"This paper presents the application of a component-based Grid middleware system for processing extremely large images obtained from digital microscopy devices. We have developed parallel, out-of-core techniques for different classes of data processing operations employed on images from confocal microscopy scanners. These techniques are combined into a data preprocessing and analysis pipeline using the component-based middleware system. The experimental results show that: 1) our implementation achieves good performance and can handle very large datasets on high-performance Grid nodes, consisting of computation and/or storage clusters and 2) it can take advantage of Grid nodes connected over high-bandwidth wide-area networks by combining task and data parallelism.",biomedical optical imaging grid computing medical image processing middleware optical microscopy Grid-node biomedical image analysis component-based Grid middleware system confocal microscopy scanner data preprocessing digital microscopy image processing parallel computation wide-area network Digital microscopy digital microscopy image processing out of core out-of- core parallel computation Database Management Systems Image Interpretation Computer-Assisted Information Dissemination Information Storage and Retrieval Internet Microscopy Radiology Information Systems Signal Processing Computer-Assisted,0
33,Simplified implementation of medical image processing algorithms into a grid using a workflow management system,Future Generation Computer Systems,2010,"In this paper, we describe the grid integration of medical image processing applications as grid workflows. The workflow management system is able to execute all tasks related to grid communication, such as authorization, scheduling and monitoring. It remains to the developer to make the code accessible for the workflow manager, and to define, what to do with it. Coarse-grained parallelization of processing steps for runtime reduction can easily be realized. We describe the procedure how to port the code to the grid and show exemplarily the integration of segmentation and registration algorithms for transrectal ultrasound guided prostate biopsies.",Workflow management Healthgrids Image processing software,0
34,3D medical volume reconstruction using web services,Computers in Biology and Medicine,2008,"We address the problem of 3D medical volume reconstruction using web services. The use of proposed web services is motivated by the fact that the problem of 3D medical volume reconstruction requires significant computer resources and human expertise in medical and computer science areas. Web services are implemented as an additional layer to a dataflow framework called data to knowledge. In the collaboration between UIC and NCSA, pre-processed input images at NCSA are made accessible to medical collaborators for registration. Every time UIC medical collaborators inspected images and selected corresponding features for registration, the web service at NCSA is contacted and the registration processing query is executed using the image to knowledge library of registration methods. Co-registered frames are returned for verification by medical collaborators in a new window. In this paper, we present 3D volume reconstruction problem requirements and the architecture of the developed prototype system at http://isda.ncsa.uiuc.edu/MedVolume. We also explain the tradeoffs of our system design and provide experimental data to support our system implementation. The prototype system has been used for multiple 3D volume reconstructions of blood vessels and vasculogenic mimicry patterns in histological sections of uveal melanoma studied by fluorescent confocal laser scanning microscope.",Web services architecture Workflow Medical image analysis Test case,0
35,HEp-2 cell pattern classification with discriminative dictionary learning,Pattern Recognition,2014," The paper presents a supervised discriminative dictionary learning algorithm specially designed for classifying HEp-2 cell patterns. The proposed algorithm is an extension of the popular K-SVD algorithm: at the training phase, it takes into account the discriminative power of the dictionary atoms and reduces their intra-class reconstruction error during each update. Meanwhile, their inter-class reconstruction effect is also considered. Compared to the existing extension of K-SVD, the proposed algorithm is more robust to parameters and has better discriminative power for classifying HEp-2 cell patterns. Quantitative evaluation shows that the proposed algorithm outperforms general object classification algorithms significantly on standard HEp-2 cell patterns classifying benchmark11 An early version of this algorithm ranks 2nd out of 28 algorithms in the 1st international contest on HEp-2 Cells classification [1]. and also achieves competitive performance on standard natural image classification benchmark.",HEp-2 cell classification Sparse representation Image coding Dictionary learning Image classification Singular value decomposition,1
36,An introduction to neural computing,Neural Networks,1988,"This article contains a brief survey of the motivations, fundamentals, and applications of artificial neural networks, as well as some detailed analytical expressions for their theory.",Neural computing Neural networks Adaptive systems Learning machines Pattern recognition,0
37,Patient-specific geometry modeling and mesh generation for simulating Obstructive Sleep Apnea Syndrome cases by Maxillomandibular Advancement,Mathematics and Computers in Simulation,2011,"The objective of this paper is the reconstruction of upper airway geometric models as hybrid meshes from clinically used Computed Tomography (CT) data sets in order to understand the dynamics and behaviors of the pre- and postoperative upper airway systems of Obstructive Sleep Apnea Syndrome (OSAS) patients by viscous Computational Fluid Dynamics (CFD) simulations. The selection criteria for OSAS cases studied are discussed because two reasonable pre- and postoperative upper airway models for CFD simulations may not be created for every case without a special protocol for CT scanning. The geometry extraction and manipulation methods are presented with technical barriers that must be overcome so that they can be used along with computational simulation software as a daily clinical evaluation tool. Eight cases are presented in this paper, and each case consists of pre- and postoperative configurations. The results of computational simulations of two cases are included in this paper as demonstration.",Image processing Mesh generation Computational Fluid Dynamics (CFD) Computed Tomography (CT) Obstructive Sleep Apnea Syndrome (OSAS) Maxillomandibular Advancement (MMA),0
